time,major,category,num_asleep,year,count
2/22/20 22:00,Finance,Wharton,1,2020,2
2/22/20 22:00,Business Analytics,Wharton,0,2021,0.01
2/22/20 22:00,History,CAS,0,2023,0.01
2/22/20 22:00,Neuroscience,CAS,0,2020,0.01
2/22/20 22:00,Economics,CAS,0,2021,0.01
2/22/20 22:00,Nursing,NURS,1,2022,1
2/22/20 22:00,Misc,N/A,0,2023,0.01
2/22/20 22:00,DMD,ENG,0,2020,0.01
2/22/20 22:00,CBE,ENG,0,2023,0.01
2/22/20 22:00,Systems Engineering,ENG,0,2023,0.01
2/22/20 22:00,Bioengineering,ENG,0,2023,0.01
2/22/20 23:00,PPE,CAS,0,2020,0.01
2/22/20 23:00,Nutrition,CAS,0,2021,0.01
2/22/20 23:00,Fine Arts,CAS,0,2021,0.01
2/22/20 23:00,Philosophy,CAS,0,2021,0.01
2/22/20 23:00,Statistics,Wharton,0,2022,0.01
2/22/20 23:00,Political Science,CAS,0,2020,0.01
2/22/20 23:00,Systems Engineering,ENG,0,2020,0.01
2/22/20 23:00,Nutrition,CAS,0,2022,0.01
2/22/20 23:00,Biomedical Engineering,NULL,0,2023,0.01
2/22/20 23:00,Computer Science,ENG,0,2023,0.01
2/22/20 23:00,PPE,CAS,0,2021,0.01
2/22/20 23:00,Business Analytics,Wharton,0,2022,0.01
2/22/20 23:00,Urban Studies,CAS,0,2022,0.01
2/22/20 23:00,Economics,CAS,1,2020,2
2/22/20 23:00,Nursing,NURS,0,2021,0.01
2/22/20 23:00,Communications,CAS,0,2023,0.01
2/22/20 23:00,DMD,ENG,1,2021,7
2/22/20 23:00,Cognitive Science,CAS,0,2023,0.01
2/22/20 23:00,CBE,ENG,0,2022,0.01
2/22/20 23:00,Marketing,Wharton,0,2023,0.01
2/22/20 23:00,Political Science,CAS,0,2021,0.01
2/22/20 23:00,Neuroscience,CAS,0,2023,0.01
2/22/20 23:00,Chemistry,CAS,0,2023,0.01
2/22/20 23:00,Misc,N/A,0,2020,0.01
2/22/20 23:00,2022,NULL,0,N/A,0.01
2/22/20 23:00,Economics,CAS,0,2023,0.01
2/22/20 23:00,Computer Science,ENG,1,2022,21
2/22/20 23:00,Math,CAS,0,2022,0.01
2/22/20 23:00,Wharton,NULL,0,2022,0.01
2/22/20 23:00,Nursing,NURS,0,2020,0.01
2/22/20 23:00,Mathematical Economics,CAS,0,2021,0.01
2/22/20 23:00,Cognitive Science,CAS,0,2022,0.01
2/22/20 23:00,Finance,Wharton,0,2022,0.01
2/22/20 23:00,OIDD,Wharton,0,2020,0.01
2/22/20 23:00,Neuroscience,CAS,0,2022,0.01
2/22/20 23:00,Fine Arts,CAS,0,2023,0.01
2/22/20 23:00,Misc,N/A,0,2021,0.01
2/22/20 23:00,CBE,ENG,0,2021,0.01
2/22/20 23:00,Computer Science,ENG,1,2021,17
2/22/20 23:00,Political Science,CAS,0,2022,0.01
2/22/20 23:00,Misc,N/A,0,N/A,0.01
2/22/20 23:00,Marketing,Wharton,0,2022,0.01
2/22/20 23:00,Statistics,Wharton,0,2020,0.01
2/22/20 23:00,Communications,CAS,0,2021,0.01
2/22/20 23:00,English,CAS,0,2021,0.01
2/22/20 23:00,PPE,CAS,0,2023,0.01
2/22/20 23:00,Finance,Wharton,1,2021,3
2/22/20 23:00,Mechanical Engineering,ENG,0,N/A,0.01
2/22/20 23:00,Business Analytics,Wharton,0,2020,0.01
2/22/20 23:00,Neuroscience,CAS,0,2021,0.01
2/22/20 23:00,Misc,N/A,0,2022,0.01
2/22/20 23:00,Cognitive Science,CAS,0,2021,0.01
2/22/20 23:00,Systems Engineering,ENG,0,2022,0.01
2/22/20 23:00,Computer Science,ENG,0,2020,0.01
2/22/20 23:00,Undecided,CAS,0,2023,0.01
2/22/20 23:00,GSWS,CAS,0,2020,0.01
2/22/20 23:00,Music,CAS,0,2020,0.01
2/22/20 23:00,Political Science,CAS,1,2023,2
2/22/20 23:00,Computer Science,ENG,0,N/A,0.01
2/22/20 23:00,Statistics,Wharton,0,2021,0.01
2/22/20 23:00,Finance,Wharton,1,2020,2
2/22/20 23:00,Business Analytics,Wharton,0,2021,0.01
2/22/20 23:00,History,CAS,1,2023,1
2/22/20 23:00,Neuroscience,CAS,1,2020,4
2/22/20 23:00,Economics,CAS,0,2021,0.01
2/22/20 23:00,Nursing,NURS,1,2022,1
2/22/20 23:00,Misc,N/A,0,2023,0.01
2/22/20 23:00,DMD,ENG,0,2020,0.01
2/22/20 23:00,CBE,ENG,0,2023,0.01
2/22/20 23:00,Systems Engineering,ENG,0,2023,0.01
2/22/20 23:00,Bioengineering,ENG,0,2023,0.01
2/23/20 0:00,PPE,CAS,0,2020,0.01
2/23/20 0:00,Nutrition,CAS,0,2021,0.01
2/23/20 0:00,Fine Arts,CAS,0,2021,0.01
2/23/20 0:00,Philosophy,CAS,0,2021,0.01
2/23/20 0:00,Statistics,Wharton,0,2022,0.01
2/23/20 0:00,Political Science,CAS,0,2020,0.01
2/23/20 0:00,Systems Engineering,ENG,0,2020,0.01
2/23/20 0:00,Nutrition,CAS,1,2022,1
2/23/20 0:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 0:00,Computer Science,ENG,0,2023,0.01
2/23/20 0:00,PPE,CAS,0,2021,0.01
2/23/20 0:00,Business Analytics,Wharton,1,2022,2
2/23/20 0:00,Urban Studies,CAS,1,2022,1
2/23/20 0:00,Economics,CAS,1,2020,2
2/23/20 0:00,Nursing,NURS,0,2021,0.01
2/23/20 0:00,Communications,CAS,0,2023,0.01
2/23/20 0:00,DMD,ENG,2,2021,7
2/23/20 0:00,Cognitive Science,CAS,0,2023,0.01
2/23/20 0:00,CBE,ENG,2,2022,2
2/23/20 0:00,Marketing,Wharton,0,2023,0.01
2/23/20 0:00,Political Science,CAS,1,2021,2
2/23/20 0:00,Neuroscience,CAS,2,2023,2
2/23/20 0:00,Chemistry,CAS,1,2023,1
2/23/20 0:00,Misc,N/A,0,2020,0.01
2/23/20 0:00,2022,NULL,0,N/A,0.01
2/23/20 0:00,Economics,CAS,0,2023,0.01
2/23/20 0:00,Computer Science,ENG,3,2022,21
2/23/20 0:00,Math,CAS,0,2022,0.01
2/23/20 0:00,Wharton,NULL,0,2022,0.01
2/23/20 0:00,Nursing,NURS,1,2020,1
2/23/20 0:00,Mathematical Economics,CAS,1,2021,1
2/23/20 0:00,Cognitive Science,CAS,0,2022,0.01
2/23/20 0:00,Finance,Wharton,3,2022,7
2/23/20 0:00,OIDD,Wharton,1,2020,2
2/23/20 0:00,Neuroscience,CAS,5,2022,7
2/23/20 0:00,Fine Arts,CAS,0,2023,0.01
2/23/20 0:00,Misc,N/A,1,2021,1
2/23/20 0:00,CBE,ENG,1,2021,2
2/23/20 0:00,Computer Science,ENG,1,2021,17
2/23/20 0:00,Political Science,CAS,1,2022,1
2/23/20 0:00,Misc,N/A,0,N/A,0.01
2/23/20 0:00,Marketing,Wharton,0,2022,0.01
2/23/20 0:00,Statistics,Wharton,1,2020,2
2/23/20 0:00,Communications,CAS,0,2021,0.01
2/23/20 0:00,English,CAS,1,2021,2
2/23/20 0:00,PPE,CAS,0,2023,0.01
2/23/20 0:00,Finance,Wharton,2,2021,3
2/23/20 0:00,Mechanical Engineering,ENG,0,N/A,0.01
2/23/20 0:00,Business Analytics,Wharton,0,2020,0.01
2/23/20 0:00,Neuroscience,CAS,0,2021,0.01
2/23/20 0:00,Misc,N/A,0,2022,0.01
2/23/20 0:00,Cognitive Science,CAS,0,2021,0.01
2/23/20 0:00,Systems Engineering,ENG,0,2022,0.01
2/23/20 0:00,Computer Science,ENG,0,2020,0.01
2/23/20 0:00,Undecided,CAS,0,2023,0.01
2/23/20 0:00,GSWS,CAS,0,2020,0.01
2/23/20 0:00,Music,CAS,0,2020,0.01
2/23/20 0:00,Political Science,CAS,2,2023,2
2/23/20 0:00,Computer Science,ENG,0,N/A,0.01
2/23/20 0:00,Statistics,Wharton,2,2021,3
2/23/20 0:00,Finance,Wharton,1,2020,2
2/23/20 0:00,Business Analytics,Wharton,0,2021,0.01
2/23/20 0:00,History,CAS,1,2023,1
2/23/20 0:00,Neuroscience,CAS,0,2020,0.01
2/23/20 0:00,Economics,CAS,0,2021,0.01
2/23/20 0:00,Nursing,NURS,1,2022,1
2/23/20 0:00,Misc,N/A,1,2023,4
2/23/20 0:00,DMD,ENG,0,2020,0.01
2/23/20 0:00,CBE,ENG,0,2023,0.01
2/23/20 0:00,Systems Engineering,ENG,0,2023,0.01
2/23/20 0:00,Bioengineering,ENG,0,2023,0.01
2/23/20 1:00,PPE,CAS,1,2020,1
2/23/20 1:00,Nutrition,CAS,0,2021,0.01
2/23/20 1:00,Fine Arts,CAS,0,2021,0.01
2/23/20 1:00,Philosophy,CAS,0,2021,0.01
2/23/20 1:00,Statistics,Wharton,0,2022,0.01
2/23/20 1:00,Political Science,CAS,0,2020,0.01
2/23/20 1:00,Systems Engineering,ENG,1,2020,1
2/23/20 1:00,Nutrition,CAS,1,2022,1
2/23/20 1:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 1:00,Computer Science,ENG,2,2023,4
2/23/20 1:00,PPE,CAS,0,2021,0.01
2/23/20 1:00,Business Analytics,Wharton,1,2022,2
2/23/20 1:00,Urban Studies,CAS,1,2022,1
2/23/20 1:00,Economics,CAS,1,2020,2
2/23/20 1:00,Nursing,NURS,0,2021,0.01
2/23/20 1:00,Communications,CAS,0,2023,0.01
2/23/20 1:00,DMD,ENG,3,2021,7
2/23/20 1:00,Cognitive Science,CAS,1,2023,1
2/23/20 1:00,CBE,ENG,2,2022,2
2/23/20 1:00,Marketing,Wharton,0,2023,0.01
2/23/20 1:00,Political Science,CAS,1,2021,2
2/23/20 1:00,Neuroscience,CAS,2,2023,2
2/23/20 1:00,Chemistry,CAS,1,2023,1
2/23/20 1:00,Misc,N/A,0,2020,0.01
2/23/20 1:00,2022,NULL,0,N/A,0.01
2/23/20 1:00,Economics,CAS,0,2023,0.01
2/23/20 1:00,Computer Science,ENG,5,2022,21
2/23/20 1:00,Math,CAS,0,2022,0.01
2/23/20 1:00,Wharton,NULL,0,2022,0.01
2/23/20 1:00,Nursing,NURS,1,2020,1
2/23/20 1:00,Mathematical Economics,CAS,1,2021,1
2/23/20 1:00,Cognitive Science,CAS,0,2022,0.01
2/23/20 1:00,Finance,Wharton,4,2022,7
2/23/20 1:00,OIDD,Wharton,2,2020,2
2/23/20 1:00,Neuroscience,CAS,5,2022,7
2/23/20 1:00,Fine Arts,CAS,0,2023,0.01
2/23/20 1:00,Misc,N/A,1,2021,1
2/23/20 1:00,CBE,ENG,1,2021,2
2/23/20 1:00,Computer Science,ENG,4,2021,17
2/23/20 1:00,Political Science,CAS,1,2022,1
2/23/20 1:00,Misc,N/A,3,N/A,10
2/23/20 1:00,Marketing,Wharton,0,2022,0.01
2/23/20 1:00,Statistics,Wharton,2,2020,2
2/23/20 1:00,Communications,CAS,0,2021,0.01
2/23/20 1:00,English,CAS,1,2021,2
2/23/20 1:00,PPE,CAS,0,2023,0.01
2/23/20 1:00,Finance,Wharton,2,2021,3
2/23/20 1:00,Mechanical Engineering,ENG,0,N/A,0.01
2/23/20 1:00,Business Analytics,Wharton,1,2020,2
2/23/20 1:00,Neuroscience,CAS,0,2021,0.01
2/23/20 1:00,Misc,N/A,1,2022,1
2/23/20 1:00,Cognitive Science,CAS,0,2021,0.01
2/23/20 1:00,Systems Engineering,ENG,0,2022,0.01
2/23/20 1:00,Computer Science,ENG,0,2020,0.01
2/23/20 1:00,Undecided,CAS,0,2023,0.01
2/23/20 1:00,GSWS,CAS,1,2020,1
2/23/20 1:00,Music,CAS,1,2020,1
2/23/20 1:00,Political Science,CAS,2,2023,2
2/23/20 1:00,Computer Science,ENG,0,N/A,0.01
2/23/20 1:00,Statistics,Wharton,2,2021,3
2/23/20 1:00,Finance,Wharton,2,2020,2
2/23/20 1:00,Business Analytics,Wharton,0,2021,0.01
2/23/20 1:00,History,CAS,1,2023,1
2/23/20 1:00,Neuroscience,CAS,2,2020,4
2/23/20 1:00,Economics,CAS,1,2021,1
2/23/20 1:00,Nursing,NURS,0,2022,0.01
2/23/20 1:00,Misc,N/A,1,2023,4
2/23/20 1:00,DMD,ENG,0,2020,0.01
2/23/20 1:00,CBE,ENG,1,2023,2
2/23/20 1:00,Systems Engineering,ENG,0,2023,0.01
2/23/20 1:00,Bioengineering,ENG,0,2023,0.01
2/23/20 2:00,PPE,CAS,1,2020,1
2/23/20 2:00,Nutrition,CAS,1,2021,1
2/23/20 2:00,Fine Arts,CAS,1,2021,1
2/23/20 2:00,Philosophy,CAS,1,2021,1
2/23/20 2:00,Statistics,Wharton,0,2022,0.01
2/23/20 2:00,Political Science,CAS,0,2020,0.01
2/23/20 2:00,Systems Engineering,ENG,1,2020,1
2/23/20 2:00,Nutrition,CAS,1,2022,1
2/23/20 2:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 2:00,Computer Science,ENG,2,2023,4
2/23/20 2:00,PPE,CAS,1,2021,2
2/23/20 2:00,Business Analytics,Wharton,2,2022,2
2/23/20 2:00,Urban Studies,CAS,1,2022,1
2/23/20 2:00,Economics,CAS,1,2020,2
2/23/20 2:00,Nursing,NURS,1,2021,2
2/23/20 2:00,Communications,CAS,1,2023,1
2/23/20 2:00,DMD,ENG,5,2021,7
2/23/20 2:00,Cognitive Science,CAS,1,2023,1
2/23/20 2:00,CBE,ENG,2,2022,2
2/23/20 2:00,Marketing,Wharton,0,2023,0.01
2/23/20 2:00,Political Science,CAS,1,2021,2
2/23/20 2:00,Neuroscience,CAS,2,2023,2
2/23/20 2:00,Chemistry,CAS,1,2023,1
2/23/20 2:00,Misc,N/A,1,2020,1
2/23/20 2:00,2022,NULL,1,N/A,1
2/23/20 2:00,Economics,CAS,2,2023,2
2/23/20 2:00,Computer Science,ENG,8,2022,21
2/23/20 2:00,Math,CAS,0,2022,0.01
2/23/20 2:00,Wharton,NULL,0,2022,0.01
2/23/20 2:00,Nursing,NURS,1,2020,1
2/23/20 2:00,Mathematical Economics,CAS,1,2021,1
2/23/20 2:00,Cognitive Science,CAS,1,2022,1
2/23/20 2:00,Finance,Wharton,4,2022,7
2/23/20 2:00,OIDD,Wharton,2,2020,2
2/23/20 2:00,Neuroscience,CAS,6,2022,7
2/23/20 2:00,Fine Arts,CAS,0,2023,0.01
2/23/20 2:00,Misc,N/A,1,2021,1
2/23/20 2:00,CBE,ENG,2,2021,2
2/23/20 2:00,Computer Science,ENG,13,2021,17
2/23/20 2:00,Political Science,CAS,1,2022,1
2/23/20 2:00,Misc,N/A,6,N/A,10
2/23/20 2:00,Marketing,Wharton,0,2022,0.01
2/23/20 2:00,Statistics,Wharton,2,2020,2
2/23/20 2:00,Communications,CAS,1,2021,1
2/23/20 2:00,English,CAS,1,2021,2
2/23/20 2:00,PPE,CAS,0,2023,0.01
2/23/20 2:00,Finance,Wharton,3,2021,3
2/23/20 2:00,Mechanical Engineering,ENG,1,N/A,1
2/23/20 2:00,Business Analytics,Wharton,1,2020,2
2/23/20 2:00,Neuroscience,CAS,1,2021,2
2/23/20 2:00,Misc,N/A,1,2022,1
2/23/20 2:00,Cognitive Science,CAS,1,2021,1
2/23/20 2:00,Systems Engineering,ENG,0,2022,0.01
2/23/20 2:00,Computer Science,ENG,0,2020,0.01
2/23/20 2:00,Undecided,CAS,0,2023,0.01
2/23/20 2:00,GSWS,CAS,1,2020,1
2/23/20 2:00,Music,CAS,1,2020,1
2/23/20 2:00,Political Science,CAS,2,2023,2
2/23/20 2:00,Computer Science,ENG,0,N/A,0.01
2/23/20 2:00,Statistics,Wharton,3,2021,3
2/23/20 2:00,Finance,Wharton,2,2020,2
2/23/20 2:00,Business Analytics,Wharton,2,2021,2
2/23/20 2:00,History,CAS,1,2023,1
2/23/20 2:00,Neuroscience,CAS,4,2020,4
2/23/20 2:00,Economics,CAS,1,2021,1
2/23/20 2:00,Nursing,NURS,0,2022,0.01
2/23/20 2:00,Misc,N/A,1,2023,4
2/23/20 2:00,DMD,ENG,0,2020,0.01
2/23/20 2:00,CBE,ENG,1,2023,2
2/23/20 2:00,Systems Engineering,ENG,1,2023,2
2/23/20 2:00,Bioengineering,ENG,0,2023,0.01
2/23/20 3:00,PPE,CAS,1,2020,1
2/23/20 3:00,Nutrition,CAS,1,2021,1
2/23/20 3:00,Fine Arts,CAS,1,2021,1
2/23/20 3:00,Philosophy,CAS,1,2021,1
2/23/20 3:00,Statistics,Wharton,1,2022,1
2/23/20 3:00,Political Science,CAS,1,2020,1
2/23/20 3:00,Systems Engineering,ENG,1,2020,1
2/23/20 3:00,Nutrition,CAS,1,2022,1
2/23/20 3:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 3:00,Computer Science,ENG,3,2023,4
2/23/20 3:00,PPE,CAS,2,2021,2
2/23/20 3:00,Business Analytics,Wharton,2,2022,2
2/23/20 3:00,Urban Studies,CAS,1,2022,1
2/23/20 3:00,Economics,CAS,1,2020,2
2/23/20 3:00,Nursing,NURS,1,2021,2
2/23/20 3:00,Communications,CAS,1,2023,1
2/23/20 3:00,DMD,ENG,7,2021,7
2/23/20 3:00,Cognitive Science,CAS,1,2023,1
2/23/20 3:00,CBE,ENG,2,2022,2
2/23/20 3:00,Marketing,Wharton,1,2023,1
2/23/20 3:00,Political Science,CAS,1,2021,2
2/23/20 3:00,Neuroscience,CAS,2,2023,2
2/23/20 3:00,Chemistry,CAS,1,2023,1
2/23/20 3:00,Misc,N/A,1,2020,1
2/23/20 3:00,2022,NULL,1,N/A,1
2/23/20 3:00,Economics,CAS,2,2023,2
2/23/20 3:00,Computer Science,ENG,17,2022,21
2/23/20 3:00,Math,CAS,0,2022,0.01
2/23/20 3:00,Wharton,NULL,1,2022,1
2/23/20 3:00,Nursing,NURS,1,2020,1
2/23/20 3:00,Mathematical Economics,CAS,0,2021,0.01
2/23/20 3:00,Cognitive Science,CAS,1,2022,1
2/23/20 3:00,Finance,Wharton,5,2022,7
2/23/20 3:00,OIDD,Wharton,2,2020,2
2/23/20 3:00,Neuroscience,CAS,6,2022,7
2/23/20 3:00,Fine Arts,CAS,1,2023,1
2/23/20 3:00,Misc,N/A,1,2021,1
2/23/20 3:00,CBE,ENG,2,2021,2
2/23/20 3:00,Computer Science,ENG,14,2021,17
2/23/20 3:00,Political Science,CAS,1,2022,1
2/23/20 3:00,Misc,N/A,9,N/A,10
2/23/20 3:00,Marketing,Wharton,0,2022,0.01
2/23/20 3:00,Statistics,Wharton,2,2020,2
2/23/20 3:00,Communications,CAS,1,2021,1
2/23/20 3:00,English,CAS,1,2021,2
2/23/20 3:00,PPE,CAS,1,2023,1
2/23/20 3:00,Finance,Wharton,3,2021,3
2/23/20 3:00,Mechanical Engineering,ENG,1,N/A,1
2/23/20 3:00,Business Analytics,Wharton,1,2020,2
2/23/20 3:00,Neuroscience,CAS,1,2021,2
2/23/20 3:00,Misc,N/A,1,2022,1
2/23/20 3:00,Cognitive Science,CAS,1,2021,1
2/23/20 3:00,Systems Engineering,ENG,0,2022,0.01
2/23/20 3:00,Computer Science,ENG,0,2020,0.01
2/23/20 3:00,Undecided,CAS,1,2023,1
2/23/20 3:00,GSWS,CAS,1,2020,1
2/23/20 3:00,Music,CAS,1,2020,1
2/23/20 3:00,Political Science,CAS,2,2023,2
2/23/20 3:00,Computer Science,ENG,1,N/A,1
2/23/20 3:00,Statistics,Wharton,3,2021,3
2/23/20 3:00,Finance,Wharton,2,2020,2
2/23/20 3:00,Business Analytics,Wharton,2,2021,2
2/23/20 3:00,History,CAS,1,2023,1
2/23/20 3:00,Neuroscience,CAS,4,2020,4
2/23/20 3:00,Economics,CAS,1,2021,1
2/23/20 3:00,Nursing,NURS,0,2022,0.01
2/23/20 3:00,Misc,N/A,1,2023,4
2/23/20 3:00,DMD,ENG,1,2020,1
2/23/20 3:00,CBE,ENG,2,2023,2
2/23/20 3:00,Systems Engineering,ENG,2,2023,2
2/23/20 3:00,Bioengineering,ENG,1,2023,1
2/23/20 4:00,PPE,CAS,1,2020,1
2/23/20 4:00,Nutrition,CAS,1,2021,1
2/23/20 4:00,Fine Arts,CAS,1,2021,1
2/23/20 4:00,Philosophy,CAS,1,2021,1
2/23/20 4:00,Statistics,Wharton,1,2022,1
2/23/20 4:00,Political Science,CAS,1,2020,1
2/23/20 4:00,Systems Engineering,ENG,1,2020,1
2/23/20 4:00,Nutrition,CAS,1,2022,1
2/23/20 4:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 4:00,Computer Science,ENG,3,2023,4
2/23/20 4:00,PPE,CAS,2,2021,2
2/23/20 4:00,Business Analytics,Wharton,2,2022,2
2/23/20 4:00,Urban Studies,CAS,1,2022,1
2/23/20 4:00,Economics,CAS,2,2020,2
2/23/20 4:00,Nursing,NURS,1,2021,2
2/23/20 4:00,Communications,CAS,1,2023,1
2/23/20 4:00,DMD,ENG,7,2021,7
2/23/20 4:00,Cognitive Science,CAS,1,2023,1
2/23/20 4:00,CBE,ENG,2,2022,2
2/23/20 4:00,Marketing,Wharton,1,2023,1
2/23/20 4:00,Political Science,CAS,1,2021,2
2/23/20 4:00,Neuroscience,CAS,2,2023,2
2/23/20 4:00,Chemistry,CAS,1,2023,1
2/23/20 4:00,Misc,N/A,1,2020,1
2/23/20 4:00,2022,NULL,1,N/A,1
2/23/20 4:00,Economics,CAS,2,2023,2
2/23/20 4:00,Computer Science,ENG,18,2022,21
2/23/20 4:00,Math,CAS,1,2022,1
2/23/20 4:00,Wharton,NULL,1,2022,1
2/23/20 4:00,Nursing,NURS,1,2020,1
2/23/20 4:00,Mathematical Economics,CAS,1,2021,1
2/23/20 4:00,Cognitive Science,CAS,1,2022,1
2/23/20 4:00,Finance,Wharton,7,2022,7
2/23/20 4:00,OIDD,Wharton,2,2020,2
2/23/20 4:00,Neuroscience,CAS,6,2022,7
2/23/20 4:00,Fine Arts,CAS,1,2023,1
2/23/20 4:00,Misc,N/A,1,2021,1
2/23/20 4:00,CBE,ENG,2,2021,2
2/23/20 4:00,Computer Science,ENG,15,2021,17
2/23/20 4:00,Political Science,CAS,1,2022,1
2/23/20 4:00,Misc,N/A,9,N/A,10
2/23/20 4:00,Marketing,Wharton,0,2022,0.01
2/23/20 4:00,Statistics,Wharton,2,2020,2
2/23/20 4:00,Communications,CAS,1,2021,1
2/23/20 4:00,English,CAS,1,2021,2
2/23/20 4:00,PPE,CAS,1,2023,1
2/23/20 4:00,Finance,Wharton,3,2021,3
2/23/20 4:00,Mechanical Engineering,ENG,1,N/A,1
2/23/20 4:00,Business Analytics,Wharton,2,2020,2
2/23/20 4:00,Neuroscience,CAS,1,2021,2
2/23/20 4:00,Misc,N/A,1,2022,1
2/23/20 4:00,Cognitive Science,CAS,1,2021,1
2/23/20 4:00,Systems Engineering,ENG,1,2022,1
2/23/20 4:00,Computer Science,ENG,1,2020,1
2/23/20 4:00,Undecided,CAS,1,2023,1
2/23/20 4:00,GSWS,CAS,1,2020,1
2/23/20 4:00,Music,CAS,1,2020,1
2/23/20 4:00,Political Science,CAS,2,2023,2
2/23/20 4:00,Computer Science,ENG,1,N/A,1
2/23/20 4:00,Statistics,Wharton,3,2021,3
2/23/20 4:00,Finance,Wharton,2,2020,2
2/23/20 4:00,Business Analytics,Wharton,2,2021,2
2/23/20 4:00,History,CAS,1,2023,1
2/23/20 4:00,Neuroscience,CAS,4,2020,4
2/23/20 4:00,Economics,CAS,1,2021,1
2/23/20 4:00,Nursing,NURS,0,2022,0.01
2/23/20 4:00,Misc,N/A,2,2023,4
2/23/20 4:00,DMD,ENG,1,2020,1
2/23/20 4:00,CBE,ENG,2,2023,2
2/23/20 4:00,Systems Engineering,ENG,2,2023,2
2/23/20 4:00,Bioengineering,ENG,1,2023,1
2/23/20 5:00,PPE,CAS,1,2020,1
2/23/20 5:00,Nutrition,CAS,1,2021,1
2/23/20 5:00,Fine Arts,CAS,1,2021,1
2/23/20 5:00,Philosophy,CAS,1,2021,1
2/23/20 5:00,Statistics,Wharton,1,2022,1
2/23/20 5:00,Political Science,CAS,1,2020,1
2/23/20 5:00,Systems Engineering,ENG,1,2020,1
2/23/20 5:00,Nutrition,CAS,1,2022,1
2/23/20 5:00,Biomedical Engineering,NULL,0,2023,0.01
2/23/20 5:00,Computer Science,ENG,4,2023,4
2/23/20 5:00,PPE,CAS,2,2021,2
2/23/20 5:00,Business Analytics,Wharton,2,2022,2
2/23/20 5:00,Urban Studies,CAS,1,2022,1
2/23/20 5:00,Economics,CAS,2,2020,2
2/23/20 5:00,Nursing,NURS,1,2021,2
2/23/20 5:00,Communications,CAS,1,2023,1
2/23/20 5:00,DMD,ENG,7,2021,7
2/23/20 5:00,Cognitive Science,CAS,1,2023,1
2/23/20 5:00,CBE,ENG,2,2022,2
2/23/20 5:00,Marketing,Wharton,1,2023,1
2/23/20 5:00,Political Science,CAS,1,2021,2
2/23/20 5:00,Neuroscience,CAS,2,2023,2
2/23/20 5:00,Chemistry,CAS,1,2023,1
2/23/20 5:00,Misc,N/A,1,2020,1
2/23/20 5:00,2022,NULL,1,N/A,1
2/23/20 5:00,Economics,CAS,2,2023,2
2/23/20 5:00,Computer Science,ENG,19,2022,21
2/23/20 5:00,Math,CAS,1,2022,1
2/23/20 5:00,Wharton,NULL,1,2022,1
2/23/20 5:00,Nursing,NURS,1,2020,1
2/23/20 5:00,Mathematical Economics,CAS,1,2021,1
2/23/20 5:00,Cognitive Science,CAS,1,2022,1
2/23/20 5:00,Finance,Wharton,7,2022,7
2/23/20 5:00,OIDD,Wharton,2,2020,2
2/23/20 5:00,Neuroscience,CAS,6,2022,7
2/23/20 5:00,Fine Arts,CAS,1,2023,1
2/23/20 5:00,Misc,N/A,1,2021,1
2/23/20 5:00,CBE,ENG,2,2021,2
2/23/20 5:00,Computer Science,ENG,16,2021,17
2/23/20 5:00,Political Science,CAS,1,2022,1
2/23/20 5:00,Misc,N/A,9,N/A,10
2/23/20 5:00,Marketing,Wharton,1,2022,1
2/23/20 5:00,Statistics,Wharton,2,2020,2
2/23/20 5:00,Communications,CAS,1,2021,1
2/23/20 5:00,English,CAS,1,2021,2
2/23/20 5:00,PPE,CAS,1,2023,1
2/23/20 5:00,Finance,Wharton,3,2021,3
2/23/20 5:00,Mechanical Engineering,ENG,1,N/A,1
2/23/20 5:00,Business Analytics,Wharton,2,2020,2
2/23/20 5:00,Neuroscience,CAS,1,2021,2
2/23/20 5:00,Misc,N/A,1,2022,1
2/23/20 5:00,Cognitive Science,CAS,1,2021,1
2/23/20 5:00,Systems Engineering,ENG,1,2022,1
2/23/20 5:00,Computer Science,ENG,1,2020,1
2/23/20 5:00,Undecided,CAS,1,2023,1
2/23/20 5:00,GSWS,CAS,1,2020,1
2/23/20 5:00,Music,CAS,1,2020,1
2/23/20 5:00,Political Science,CAS,2,2023,2
2/23/20 5:00,Computer Science,ENG,1,N/A,1
2/23/20 5:00,Statistics,Wharton,3,2021,3
2/23/20 5:00,Finance,Wharton,2,2020,2
2/23/20 5:00,Business Analytics,Wharton,2,2021,2
2/23/20 5:00,History,CAS,1,2023,1
2/23/20 5:00,Neuroscience,CAS,4,2020,4
2/23/20 5:00,Economics,CAS,1,2021,1
2/23/20 5:00,Nursing,NURS,0,2022,0.01
2/23/20 5:00,Misc,N/A,2,2023,4
2/23/20 5:00,DMD,ENG,1,2020,1
2/23/20 5:00,CBE,ENG,2,2023,2
2/23/20 5:00,Systems Engineering,ENG,2,2023,2
2/23/20 5:00,Bioengineering,ENG,1,2023,1
2/23/20 6:00,PPE,CAS,1,2020,1
2/23/20 6:00,Nutrition,CAS,1,2021,1
2/23/20 6:00,Fine Arts,CAS,1,2021,1
